hz,family,model,k,mse,mse_med,mse_p90,mse_p99,latency_ms,params,source
52,cnn,cnn,1,0.014317200519144535,0.00026783894281834364,0.015150027349591255,0.20996840298175812,0.236467229151555,26499.0,nn
52,lstm,lstm,1,0.013159632682800293,0.00023265925119630992,0.011831573210656643,0.19970469176769257,0.22104458392835555,202115.0,nn
52,transformer,transformer,1,0.019148364663124084,0.0006638895720243454,0.017124373465776443,0.2747654914855957,0.22476261683213952,266243.0,nn
52,cnn,cnn,2,0.030203845351934433,0.0006764450226910412,0.034248556941747665,0.4803558886051178,0.22520127007284754,26499.0,nn
52,lstm,lstm,2,0.03027435764670372,0.0005985592142678797,0.029171794652938843,0.5305275321006775,0.22990554775812952,202115.0,nn
52,transformer,transformer,2,0.036201369017362595,0.0007707298500463367,0.035953063517808914,0.5569514632225037,0.22418209006216475,266243.0,nn
52,cnn,cnn,3,0.05261508747935295,0.001250464003533125,0.05860844999551773,0.8156931400299072,0.22184764665233414,26499.0,nn
52,lstm,lstm,3,0.052854396402835846,0.0011767729884013534,0.052633561193943024,0.9370129108428955,0.22868428027933235,202115.0,nn
52,transformer,transformer,3,0.05848943069577217,0.0012567989761009812,0.059267833828926086,0.9221738576889038,0.3431648682299724,266243.0,nn
52,cnn,cnn,4,0.07884937524795532,0.0019925825763493776,0.0833890438079834,1.2794816493988037,0.2197194336561274,26499.0,nn
52,lstm,lstm,4,0.08164913207292557,0.0019189451122656465,0.0786612406373024,1.3658692836761475,0.2262315434232138,202115.0,nn
52,transformer,transformer,4,0.07580779492855072,0.001724454341456294,0.0822383239865303,1.1808946132659912,0.22502238754011164,266243.0,nn
104,cnn,cnn,1,0.0038359712343662977,0.0006604086374863982,0.006591610610485077,0.0433419868350029,0.026902578951510808,26499.0,nn
104,lstm,lstm,1,0.0034366766922175884,0.000600845436565578,0.005721226334571838,0.03792320564389229,0.027262589996391886,202115.0,nn
104,transformer,transformer,1,0.00481606088578701,0.0009666768601164222,0.00926164723932743,0.0514848455786705,0.026343859408812995,266243.0,nn
104,cnn,cnn,2,0.009241312742233276,0.0020779490005224943,0.01781809888780117,0.09960883855819702,0.02632677978057117,26499.0,nn
104,lstm,lstm,2,0.008402606472373009,0.0018660961650311947,0.015614314936101437,0.0885557010769844,0.027192884024580796,202115.0,nn
104,transformer,transformer,2,0.011575207114219666,0.0031210696324706078,0.0227949321269989,0.1133383959531784,0.02666734274011842,266243.0,nn
104,cnn,cnn,3,0.01653279736638069,0.004226800985634327,0.03340289741754532,0.17042037844657898,0.026157960442354678,26499.0,nn
104,lstm,lstm,3,0.015830980613827705,0.004039500840008259,0.0312780998647213,0.16014745831489563,0.026927253532153913,202115.0,nn
104,transformer,transformer,3,0.019251637160778046,0.005875431001186371,0.03872004896402359,0.1838352233171463,0.026332934413027916,266243.0,nn
104,cnn,cnn,4,0.024191858246922493,0.006800249684602022,0.049029335379600525,0.24636828899383545,0.02734520909219302,26499.0,nn
104,lstm,lstm,4,0.022726954892277718,0.00619874894618988,0.0445108599960804,0.2286652773618698,0.028464721456336058,202115.0,nn
104,transformer,transformer,4,0.02759896218776703,0.007937226444482803,0.056521862745285034,0.27618351578712463,0.02758203325913372,266243.0,nn
52,RLS,RLS,1,0.016599267121193303,0.0002304555273763507,0.023467725938365408,0.21470656800722196,0.027911008349142438,,baseline
52,RLSLpos,RLSLpos,1,0.016325542703270912,0.00023030016745906323,0.022666437551379204,0.2119489461183548,0.004055085215990502,,baseline
52,RLS,RLS,3,0.11026932503871663,0.001666022416966723,0.15327393923946378,1.2966426020186859,0.027923278020300268,,baseline
52,RLSLpos,RLSLpos,3,0.11016955971717834,0.0016670171171426773,0.15316326916217804,1.2966359853744507,0.006641483413824012,,baseline
52,RLS,RLS,2,0.05688731498476284,0.0008370538551380443,0.08118560497360151,0.6677383888521836,0.02816743164656001,,baseline
52,RLSLpos,RLSLpos,2,0.056685689836740494,0.000835748272947967,0.08059577643871307,0.6621862053871155,0.007701528960499007,,baseline
104,RLS,RLS,1,0.00962916803350568,0.0015519933925472365,0.019564428643929703,0.09830152330436168,0.004075984631111465,,baseline
104,RLSLpos,RLSLpos,1,0.009602229110896587,0.00155074882786721,0.019517214968800545,0.09780947118997574,0.003853489603513043,,baseline
104,RLS,RLS,2,0.03131733434862729,0.005884845579369805,0.07089767111808158,0.308933547157729,0.004115502443179689,,baseline
104,RLSLpos,RLSLpos,2,0.03128857910633087,0.005881859455257654,0.07085192948579788,0.3083941638469696,0.004899389248077606,,baseline
52,RLS,RLS,4,0.1692421631603041,0.0026206212912923943,0.22629758172601375,2.065451640871373,0.028409566781392146,,baseline
52,RLSLpos,RLSLpos,4,0.16927726566791534,0.002620621118694544,0.2272867113351822,2.0654659271240234,0.01011035676802038,,baseline
104,RLS,RLS,3,0.05863754608511097,0.01230577949270364,0.1386229506375408,0.5426879104429108,0.004129853922332013,,baseline
104,RLSLpos,RLSLpos,3,0.05860823020339012,0.012303151190280914,0.1385757029056549,0.5422964096069336,0.0048683123295440766,,baseline
104,RLS,RLS,4,0.08809690732004714,0.01992115688611086,0.20962532925409963,0.790913159275748,0.004284705502754566,,baseline
104,RLSLpos,RLSLpos,4,0.08806802332401276,0.019921530038118362,0.2096066176891327,0.7901646494865417,0.007266570527935126,,baseline
